Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,DeliveryTime,Order_DayOfWeek,DeliverySpeed
46257,CG-2013-3470,2013-07-26,2013-08-01,Standard Class,HM-4980,Henry MacAllister,Consumer,Kinshasa,Kinshasa,Democratic Republic of the Congo,,Africa,Africa,TEC-MOT-10003348,Technology,Phones,"Motorola Smart Phone, Full Size",3856.14,6,0.0,1465.2,533.99,Low,6,4,Medium
33283,CA-2013-147417,2013-07-26,2013-07-28,First Class,CB-12415,Christy Brittain,Consumer,Columbus,Ohio,United States,43229.0,US,East,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,1439.976,4,0.4,191.9968,408.79,Critical,2,4,Fast
26028,IN-2013-13891,2013-07-25,2013-07-30,Standard Class,JL-15835,John Lee,Consumer,Shaoxing,Zhejiang,China,,APAC,North Asia,TEC-PH-10003002,Technology,Phones,"Cisco Smart Phone, Full Size",5211.12,8,0.0,833.76,404.97,Medium,5,3,Medium
28704,IN-2013-25560,2013-07-25,2013-07-28,First Class,GH-14425,Gary Hwang,Consumer,Wafangdian,Liaoning,China,,APAC,North Asia,FUR-BO-10000035,Furniture,Bookcases,"Dania Classic Bookcase, Pine",1236.33,3,0.0,519.21,286.57,Medium,3,3,Fast
7666,MX-2013-105585,2013-07-25,2013-07-28,First Class,HE-14800,Harold Engle,Corporate,São Paulo,São Paulo,Brazil,,LATAM,South,FUR-TA-10004801,Furniture,Tables,"Hon Conference Table, Rectangular",980.32,2,0.2,110.28,276.71,Medium,3,3,Fast
7533,MX-2013-158624,2013-07-22,2013-07-26,Standard Class,JD-16015,Joy Daniels,Consumer,Mixco,Guatemala,Guatemala,,LATAM,Central,FUR-CH-10003941,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable",1822.08,6,0.0,400.8,178.77,Medium,4,0,Medium
69,MX-2013-164021,2013-07-23,2013-07-29,Standard Class,BM-11140,Becky Martin,Consumer,Bello,Antioquia,Colombia,,LATAM,South,FUR-BO-10004113,Furniture,Bookcases,"Sauder Classic Bookcase, Pine",874.68,3,0.0,411.06,164.45,Low,6,1,Medium
41190,US-2013-115441,2013-07-26,2013-07-29,Second Class,SH-19975,Sally Hughsby,Corporate,Milwaukee,Wisconsin,United States,53209.0,US,Central,FUR-CH-10004626,Furniture,Chairs,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,403.56,4,0.0,96.8544,136.46,Critical,3,4,Fast
997,MX-2013-148012,2013-07-22,2013-07-29,Standard Class,PH-18790,Patricia Hirasaki,Home Office,Villa Canales,Guatemala,Guatemala,,LATAM,Central,TEC-PH-10002780,Technology,Phones,"Motorola Smart Phone, Cordless",1285.56,3,0.0,527.04,129.63,Low,7,0,Medium
13827,ES-2013-2447615,2013-07-22,2013-07-26,Standard Class,JB-16000,Joy Bell-,Consumer,Neuwied,Rhineland-Palatinate,Germany,,EU,Central,TEC-CO-10001162,Technology,Copiers,"Canon Wireless Fax, Laser",757.32,2,0.0,371.04,107.28,High,4,0,Medium
17301,ES-2013-3158080,2013-07-22,2013-07-29,Standard Class,DK-12895,Dana Kaydos,Consumer,Ulm,Baden-Württemberg,Germany,,EU,Central,TEC-CO-10004099,Technology,Copiers,"Sharp Fax Machine, Digital",1771.74,6,0.0,0.0,101.9,Low,7,0,Medium
