Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,DeliveryTime
13847,IT-2013-3085011,2013-03-08,2013-03-08,Same Day,EB-13840,Ellis Ballard,Corporate,Montreuil,Ile-de-France,France,,EU,Central,FUR-CH-10003365,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",2092.5,5,0.1,720.75,652.98,Critical,0
36495,CA-2013-103982,2013-03-04,2013-03-09,Standard Class,AA-10315,Alex Avila,Consumer,Round Rock,Texas,United States,78664.0,US,Central,OFF-SU-10000151,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,3930.072,3,0.2,-786.0144,253.2,Medium,5
13846,IT-2013-3085011,2013-03-08,2013-03-08,Same Day,EB-13840,Ellis Ballard,Corporate,Montreuil,Ile-de-France,France,,EU,Central,TEC-PH-10003492,Technology,Phones,"Cisco Audio Dock, Full Size",779.28,5,0.15,-0.12,241.34,Critical,0
29525,IN-2013-79992,2013-03-05,2013-03-12,Standard Class,TS-21505,Tony Sayre,Consumer,Jakarta,Jakarta,Indonesia,,APAC,Southeast Asia,OFF-AP-10001018,Office Supplies,Appliances,"Cuisinart Refrigerator, White",2051.013,5,0.17,667.113,235.88,Medium,7
6447,MX-2013-161781,2013-03-08,2013-03-10,First Class,DK-13150,David Kendrick,Corporate,Matanzas,Matanzas,Cuba,,LATAM,Caribbean,FUR-BO-10002992,Furniture,Bookcases,"Dania Library with Doors, Traditional",966.4,4,0.0,115.92,180.38,Medium,2
19957,ES-2013-4495074,2013-03-08,2013-03-10,Second Class,MP-18175,Mike Pelletier,Home Office,Gronau,North Rhine-Westphalia,Germany,,EU,Central,TEC-MA-10001881,Technology,Machines,"Konica Card Printer, Red",861.6,5,0.0,198.15,175.7,High,2
22071,IN-2013-33337,2013-03-06,2013-03-06,Same Day,BH-11710,Brosina Hoffman,Consumer,Newcastle,New South Wales,Australia,,APAC,Oceania,TEC-AC-10004487,Technology,Accessories,"Memorex Router, Erganomic",1976.562,9,0.1,592.812,175.62,High,0
24816,ID-2013-66104,2013-03-04,2013-03-09,Second Class,HA-14905,Helen Abelman,Consumer,Manila,National Capital,Philippines,,APAC,Southeast Asia,FUR-BO-10002390,Furniture,Bookcases,"Ikea Library with Doors, Metal",1179.2625,5,0.35,-471.7875,138.87,Medium,5
17021,ES-2013-2388994,2013-03-05,2013-03-08,First Class,PK-19075,Pete Kriz,Consumer,Helsinki,Uusimaa,Finland,,EU,North,FUR-BO-10000279,Furniture,Bookcases,"Dania Classic Bookcase, Pine",1236.33,3,0.0,383.22,134.68,Medium,3
26656,IN-2013-55555,2013-03-05,2013-03-09,Standard Class,VP-21760,Victoria Pisteka,Corporate,Yogyakarta,Yogyakarta,Indonesia,,APAC,Southeast Asia,TEC-PH-10004085,Technology,Phones,"Apple Audio Dock, with Caller ID",831.1122,6,0.17,59.9922,119.31,High,4
14023,ES-2013-1012206,2013-03-06,2013-03-08,First Class,PG-18895,Paul Gonzalez,Consumer,Harrow,England,United Kingdom,,EU,North,TEC-MA-10004772,Technology,Machines,"Konica Inkjet, White",621.18,2,0.0,236.04,111.2,High,2
23440,IN-2013-34268,2013-03-04,2013-03-09,Standard Class,LC-16870,Lena Cacioppo,Consumer,Jodhpur,Rajasthan,India,,APAC,Central Asia,FUR-CH-10001271,Furniture,Chairs,"SAFCO Executive Leather Armchair, Red",1845.72,4,0.0,535.2,109.52,Medium,5
26659,IN-2013-55555,2013-03-05,2013-03-09,Standard Class,VP-21760,Victoria Pisteka,Corporate,Yogyakarta,Yogyakarta,Indonesia,,APAC,Southeast Asia,FUR-BO-10000203,Furniture,Bookcases,"Sauder Library with Doors, Metal",719.9874,2,0.07,270.9474,97.67,High,4
