Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,DeliveryTime
6449,MX-2014-111941,2014-04-09,2014-04-13,Standard Class,DM-12955,Dario Medina,Corporate,Mixco,Guatemala,Guatemala,,LATAM,Central,FUR-TA-10001642,Furniture,Tables,"Lesro Round Table, Rectangular",3117.088,13,0.2,38.948,466.7,High,4
11331,ES-2014-5842530,2014-04-03,2014-04-05,First Class,YC-21895,Yoseph Carroll,Corporate,London,England,United Kingdom,,EU,North,FUR-BO-10000490,Furniture,Bookcases,"Bush Library with Doors, Metal",2291.814,7,0.1,127.134,448.91,High,2
36859,CA-2014-133263,2014-04-01,2014-04-03,Second Class,JE-15610,Jim Epp,Corporate,Atlanta,Georgia,United States,30318.0,US,South,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,2999.95,5,0.0,1439.976,439.69,High,2
20610,IN-2014-61932,2014-04-17,2014-04-17,Same Day,HA-14920,Helen Andreada,Consumer,Wuhai,Inner Mongolia,China,,APAC,North Asia,TEC-PH-10001457,Technology,Phones,"Apple Smart Phone, Full Size",1275.0,2,0.0,140.22,377.58,Critical,0
46991,SG-2014-9460,2014-04-14,2014-04-17,Second Class,JW-5220,Jane Waco,Corporate,Dakar,Dakar,Senegal,,Africa,Africa,TEC-CIS-10002259,Technology,Phones,"Cisco Smart Phone, Cordless",3908.88,6,0.0,1563.48,363.16,Medium,3
4027,US-2014-148817,2014-04-21,2014-04-23,Second Class,FM-14215,Filia McAdams,Corporate,Mixco,Guatemala,Guatemala,,LATAM,Central,TEC-CO-10003931,Technology,Copiers,"Hewlett Fax Machine, High-Speed",1058.2792,5,0.002,-2.1208,354.42,Critical,2
25941,IN-2014-27947,2014-04-30,2014-05-04,Standard Class,BS-11800,Bryan Spruell,Home Office,Kendari,Sulawesi Tenggara,Indonesia,,APAC,Southeast Asia,OFF-AP-10000136,Office Supplies,Appliances,"Hamilton Beach Refrigerator, White",4135.641,10,0.17,847.041,348.08,Medium,4
12815,ES-2014-4032097,2014-04-09,2014-04-12,First Class,AF-10885,Art Foster,Consumer,Bayeux,Lower Normandy,France,,EU,Central,OFF-ST-10002900,Office Supplies,Storage,"Smead Lockers, Wire Frame",1244.187,7,0.1,-13.923,338.33,Critical,3
29552,IN-2014-44257,2014-04-16,2014-04-18,Second Class,SV-20785,Stewart Visinsky,Consumer,Medan,Sumatera Utara,Indonesia,,APAC,Southeast Asia,OFF-ST-10003150,Office Supplies,Storage,"Smead Lockers, Wire Frame",1803.0837,11,0.17,-130.3863,332.13,High,2
45460,IR-2014-890,2014-04-15,2014-04-18,First Class,MG-7680,Maureen Gastineau,Home Office,Mashhad,Razavi Khorasan,Iran,,EMEA,EMEA,FUR-BUS-10004644,Furniture,Bookcases,"Bush Library with Doors, Pine",731.34,2,0.0,80.4,305.98,Critical,3
764,MX-2014-133830,2014-04-15,2014-04-17,First Class,PS-18970,Paul Stevenson,Home Office,Bogotá,Bogota,Colombia,,LATAM,South,OFF-AP-10002252,Office Supplies,Appliances,"Cuisinart Stove, Black",1792.4,5,0.0,304.7,303.63,Critical,2
